,id,type of property,subtype of property,locality,latitude,longitude,street,postalCode,price,type of sale,number of bedrooms,living area,livable area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building,Unnamed: 0,Gemeente,Province,Population,Area(km2),Density,kitchen,price per sqr
10624,10545343,APARTMENT,APARTMENT,Rochefort,50.160545,5.219925,Borchamps 24,5580,165000,residential_sale,1,0,60.0,0,False,False,False,0.0,False,0.0,60.0,0.0,2.0,False,good,426,Rochefort,Namur,494325,3675.0,135,,2750.0
10625,10308094,APARTMENT,APARTMENT,Ath,,,Rue d' Houdeng 196 bte 1,7800,165000,residential_sale,2,9,100.0,installed,False,False,False,0.0,False,0.0,100.0,0.0,2.0,False,good,547,Ath,Hainaut,1196796,3197.0,375,,1650.0
10626,10735527,APARTMENT,DUPLEX,Waregem,,,Vierkeerstraat 2 bus 2,8792,165000,residential_sale,1,0,77.0,0,False,False,False,0.0,False,0.0,77.0,0.0,2.0,False,good,2615,Waregem,West-Vlaanderen,1344241,3813.0,353,,2142.8571428571427
10627,10762124,APARTMENT,FLAT_STUDIO,Koksijde,,,"Leopold II laan, 102",8670,169000,residential_sale,0,0,43.0,installed,True,False,True,0.0,False,0.0,43.0,0.0,0.0,False,as_new,605,Koksijde,West-Vlaanderen,1344241,3813.0,353,,3930.232558139535
10628,10613986,APARTMENT,FLAT_STUDIO,Koksijde,,,Artanlaan 2,8670,169000,residential_sale,0,0,43.0,installed,True,False,True,0.0,False,0.0,43.0,0.0,0.0,False,as_new,605,Koksijde,West-Vlaanderen,1344241,3813.0,353,,3930.232558139535
10629,10511200,APARTMENT,APARTMENT,Denderhoutem,50.8722456,4.0179159,Nieuwstraat 9,9450,169000,residential_sale,2,28,77.0,hyper_equipped,False,False,True,5.0,False,0.0,77.0,0.0,0.0,False,0,674,Haaltert,Oost-Vlaanderen,1515064,3007.0,504,Hyper equipped,2194.805194805195
10630,10715028,APARTMENT,APARTMENT,Rochefort,50.1589772,5.2449943,Borchamps 24,5580,170000,residential_sale,1,0,45.0,0,False,False,True,4.0,False,0.0,45.0,0.0,4.0,False,good,426,Rochefort,Namur,494325,3675.0,135,,3777.777777777778
10631,10795302,APARTMENT,FLAT_STUDIO,Nieuwpoort,,,Artanlaan 2,8620,178000,residential_sale,0,0,35.0,installed,True,False,True,0.0,False,0.0,35.0,0.0,0.0,False,0,596,Nieuwpoort,West-Vlaanderen,1344241,3813.0,353,,5085.714285714285
10632,10748262,APARTMENT,APARTMENT,Willebroek,51.0635604,4.3576271,Dendermondsesteenweg 149/4,2830,179000,residential_sale,2,21,70.0,0,False,False,True,0.0,False,0.0,70.0,0.0,2.0,False,good,193,Willebroek,Antwerpen,1857986,2876.0,647,,2557.1428571428573
10633,10464028,APARTMENT,APARTMENT,Hasselt,50.9461131,5.2581911,Leuvensesteenweg 264,3500,179000,residential_sale,2,0,98.0,0,False,False,False,0.0,True,840.0,98.0,0.0,0.0,False,good,245,Hasselt,Limburg,874048,2427.0,361,,1826.530612244898
10634,10774353,APARTMENT,APARTMENT,Alleur,50.6666013,5.5144966,Rue des Fories 2,4432,179000,residential_sale,2,0,82.0,0,False,False,False,0.0,False,0.0,82.0,0.0,2.0,False,good,1369,Ans,Liège,1106992,3857.0,288,,2182.9268292682927
10635,10711331,APARTMENT,APARTMENT,Bredene,51.2411313,2.9466674,Kapelstraat 70,8450,179000,residential_sale,2,0,80.0,0,False,False,False,0.0,False,0.0,80.0,0.0,0.0,False,0,577,Bredene,West-Vlaanderen,1344241,3813.0,353,,2237.5
10636,10778440,APARTMENT,APARTMENT,Oostende,51.2136777,2.8833111,Gistelsteenweg 294,8400,185000,residential_sale,2,28,73.0,installed,False,False,False,0.0,False,0.0,73.0,0.0,3.0,False,good,573,Oostende,West-Vlaanderen,1344241,3813.0,353,,2534.246575342466
10637,10565151,APARTMENT,APARTMENT,Kuurne,50.8521372,3.2910491,"Heuleplaats, 16",8520,185000,residential_sale,3,0,117.0,0,False,False,False,0.0,False,0.0,117.0,0.0,2.0,False,good,584,Kuurne,West-Vlaanderen,1344241,3813.0,353,,1581.1965811965813
10638,10315288,APARTMENT,FLAT_STUDIO,Antwerp,51.2222651,4.415499,Bredabaan 1026/6,2000,189000,residential_sale,1,33,60.0,0,False,False,False,0.0,False,0.0,60.0,0.0,3.0,False,to_be_done_up,111,Antwerpen,Antwerpen,1857986,2876.0,647,,3150.0
10639,10314222,APARTMENT,FLAT_STUDIO,Antwerp,51.2072017,4.4209019,Bredabaan 1026/6,2018,189000,residential_sale,1,35,60.0,0,False,False,False,0.0,False,0.0,60.0,0.0,2.0,False,to_be_done_up,113,Antwerpen,Antwerpen,1857986,2876.0,647,,3150.0
10640,10761330,APARTMENT,APARTMENT,Menen,50.7920172,3.1396496,Vanackerestraat 2,8930,195000,residential_sale,2,0,78.0,0,False,False,False,0.0,False,0.0,78.0,0.0,0.0,False,good,633,Menen,West-Vlaanderen,1344241,3813.0,353,,2500.0
